

Date,Type,Size kB,Test Size Converted,Score Kbps,Score Mbps,Score kB/s,Score MB/s,Username,Computer ID,ISP / Host,Extra Identifier,Test ID
08/26/2015 10:41:11 pm,DN,30592,29.9 MB,13271,12.96,1659,1.62,DASKAjA,77193099998,deutsche_telekom_ag,65------de,RGJpj6oq
08/26/2015 10:26:19 pm,DN,32768,32 MB,9269,9.05,1159,1.13,DASKAjA,77193099998,deutsche_telekom_ag,65------de,mhHg2x5p
08/26/2015 10:10:35 pm,DN,8928,8.7 MB,11171,10.91,1396,1.36,DASKAjA,77193099998,deutsche_telekom_ag,65------de,D45lGBue
08/26/2015 9:55:18 pm,DN,9280,9.1 MB,8611,8.41,1076,1.05,DASKAjA,77193099998,deutsche_telekom_ag,65------de,8lN5902i
08/26/2015 9:40:18 pm,DN,28160,27.5 MB,37206,36.33,4651,4.54,DASKAjA,77193099998,deutsche_telekom_ag,65------de,kVgSqDtH
08/26/2015 9:25:18 pm,DN,44416,43.4 MB,43872,42.84,5484,5.36,DASKAjA,77193099998,deutsche_telekom_ag,65------de,YI6cL1Ze
08/26/2015 9:10:15 pm,DN,45056,44 MB,38882,37.97,4860,4.75,DASKAjA,77193099998,deutsche_telekom_ag,65------de,mOBJezQ3
08/26/2015 8:55:11 pm,DN,44544,43.5 MB,45511,44.44,5689,5.56,DASKAjA,77193099998,deutsche_telekom_ag,65------de,VoJupRhr
08/26/2015 8:40:20 pm,DN,30336,29.6 MB,15701,15.33,1963,1.92,DASKAjA,77193099998,deutsche_telekom_ag,65------de,ShAEdsyr
08/26/2015 8:25:11 pm,DN,44800,43.8 MB,36495,35.64,4562,4.45,DASKAjA,77193099998,deutsche_telekom_ag,65------de,rQfaBIOe
08/26/2015 8:10:08 pm,DN,43008,42 MB,44694,43.65,5587,5.46,DASKAjA,77193099998,deutsche_telekom_ag,65------de,PtVx3owK
08/26/2015 7:55:09 pm,DN,44672,43.6 MB,38313,37.42,4789,4.68,DASKAjA,77193099998,deutsche_telekom_ag,65------de,3YsdIDk6
08/26/2015 7:40:07 pm,DN,46720,45.6 MB,45849,44.77,5731,5.6,DASKAjA,77193099998,deutsche_telekom_ag,65------de,hRCN7wWc
08/26/2015 7:25:04 pm,DN,26496,25.9 MB,40549,39.6,5069,4.95,DASKAjA,77193099998,deutsche_telekom_ag,65------de,gMoHZDTq
08/26/2015 7:10:04 pm,DN,45952,44.9 MB,46544,45.45,5818,5.68,DASKAjA,77193099998,deutsche_telekom_ag,65------de,176zp23C
08/26/2015 6:55:03 pm,DN,45440,44.4 MB,46139,45.06,5767,5.63,DASKAjA,77193099998,deutsche_telekom_ag,65------de,qJTi0RbY
08/26/2015 6:40:02 pm,DN,45952,44.9 MB,46122,45.04,5765,5.63,DASKAjA,77193099998,deutsche_telekom_ag,65------de,oFk62bmd
08/26/2015 6:25:00 pm,DN,32768,32 MB,39828,38.89,4979,4.86,DASKAjA,77193099998,deutsche_telekom_ag,65------de,5042EgcK
08/26/2015 6:10:00 pm,DN,43776,42.8 MB,45115,44.06,5639,5.51,DASKAjA,77193099998,deutsche_telekom_ag,65------de,T3olhqMC
08/26/2015 5:54:57 pm,DN,43264,42.3 MB,46328,45.24,5791,5.66,DASKAjA,77193099998,deutsche_telekom_ag,65------de,kp2YRrKt
08/26/2015 5:40:05 pm,DN,94336,92.1 MB,46898,45.8,5862,5.72,DASKAjA,77193099998,deutsche_telekom_ag,65------de,HOrBAXlg
08/26/2015 5:24:55 pm,DN,44544,43.5 MB,46349,45.26,5794,5.66,DASKAjA,77193099998,deutsche_telekom_ag,65------de,kMFwgdE2
08/26/2015 5:09:54 pm,DN,47104,46 MB,45512,44.45,5689,5.56,DASKAjA,77193099998,deutsche_telekom_ag,65------de,kRuGE8ga
